Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Manufacturer,Model,Model Year,Variant ID,Variant Name,Price,Location,Registration_Year,Insurance Validity,Seats,RTO,Engine Displacement,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Supply System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Diesel,MUV,70000.0,Manual,1.0,Renault,Renault Lodgy,2016.0,5099.0,110PS RxZ 7 Seater,750000.0,bangalore,2016.0,Third Party insurance,7.0,KA03,1461.0,Manual,19.98,1461.0,108.5,245.0,White,dCI Engine,4.0,4.0,DOHC,CRDi,Yes,No,4498.0,1751.0,1697.0,2810.0,1360.0,1520.0,6.0,FWD,Power,Ventilated Disc,Drum,170.0,13.0,Tubeless,5.0,207.0,15.0,15.0
Petrol,Hatchback,10000.0,Manual,1.0,Hyundai,Hyundai i20,2021.0,8171.0,Asta Turbo iMT DT,919999.0,bangalore,2021.0,Third Party insurance,5.0,KA51,998.0,Manual,20.0,998.0,118.36,171.62,Others,1.0 l Turbo GDi petrol,3.0,4.0,Default,Default,Yes,Default,3995.0,1775.0,1505.0,2580.0,1260.0,1520.0,6.0,FWD,Electric,Disc,Drum,172.0,12.9,"Tubeless, Radial",5.0,311.0,16.0,16.0
Petrol,Hatchback,90000.0,Automatic,3.0,Volkswagen,Volkswagen Polo,2013.0,1961.0,GT TSI,850000.0,bangalore,2013.0,Third Party insurance,5.0,KA03,1197.0,Automatic,17.2,1197.0,103.6,175.0,Others,TSi Petrol Engine ,4.0,4.0,Default,MPFI ,Yes,No,3970.0,1682.0,1453.0,2456.0,1380.0,1520.0,7.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,350.0,15.0,15.0
Petrol,Hatchback,68000.0,Manual,2.0,Hyundai,Hyundai i20,2013.0,1654.0,Sportz 1.2,490000.0,bangalore,2013.0,Comprehensive,5.0,KA51,1197.0,Manual,18.5,1197.0,82.85,113.7,Silver,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1710.0,1505.0,2525.0,1040.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,350.0,14.0,14.0
Diesel,SUV,23017.0,Manual,1.0,Mahindra,Mahindra KUV 100,2016.0,3558.0,mFALCON D75 K6,494000.0,bangalore,2016.0,Third Party,6.0,KA04,1198.0,Manual,25.32,1198.0,77.0,190.0,Orange,mFALCON D75 Engine,3.0,4.0,DOHC,CRDi,Yes,No,3675.0,1715.0,1655.0,2385.0,1135.0,1520.0,5.0,FWD,Power,Disc,Drum,160.0,14.5,"Tubeless,Radial",5.0,243.0,16.0,16.0
Diesel,Hatchback,83000.0,Manual,2.0,Hyundai,Hyundai i20,2013.0,1657.0,Asta 1.4 CRDi,525000.0,bangalore,2014.0,Comprehensive,5.0,KA03,1396.0,Manual,21.27,1396.0,88.76,219.6,Brown,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,No,No,3995.0,1710.0,1505.0,2525.0,1120.0,1520.0,6.0,FWD,Power,Disc,Disc,172.0,12.9,"Tubeless,Radial",5.0,350.0,14.0,14.0
Petrol,SUV,10000.0,Automatic,1.0,Mahindra,Mahindra XUV300,2022.0,8391.0,W6 AMT Sunroof BSVI,1050000.0,bangalore,2022.0,Third Party insurance,5.0,KA03,1197.0,Automatic,17.0,1197.0,108.6,200.0,White,1.2L Turbo Petrol,3.0,4.0,DOHC,MPFI,Yes,Default,3995.0,1821.0,1627.0,2600.0,1345.0,1520.0,6.0,FWD,Power,Disc,Disc,172.0,12.9,"Tubeless,Radial",5.0,259.0,16.0,16.0
Petrol,Hatchback,38197.0,Manual,1.0,Honda,Honda Brio,2013.0,1203.0,S MT,394000.0,bangalore,2013.0,Third Party,5.0,KA03,1198.0,Manual,19.4,1198.0,86.8,109.0,Others,i-VTEC Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3610.0,1680.0,1500.0,2345.0,925.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,175.0,16.0,16.0
Petrol,Hatchback,23000.0,Automatic,2.0,Maruti,Maruti Baleno,2017.0,6782.0,Zeta CVT,725000.0,bangalore,2017.0,Comprehensive,5.0,KA51,1197.0,Automatic,19.56,1197.0,81.8,113.0,Grey,1.2L VVT Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,-6569.0,1360.0,5.0,FWD,Electric,Disc,Drum,172.0,12.79,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,SUV,10000.0,Automatic,1.0,Renault,Renault Kiger,2022.0,8367.0,RXZ AMT DT,835000.0,bangalore,2022.0,Third Party insurance,5.0,KA53,999.0,Automatic,19.03,999.0,71.01,96.0,Others,1.0L energy,3.0,4.0,Default,MPFi,Default,Default,3991.0,1750.0,1605.0,2500.0,1086.0,1520.0,5.0,FWD,Electric,Disc,Drum,172.0,12.9,"Tubeless, Radial",5.0,405.0,16.0,16.0
